layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
0,0.19747479152323114,0.1974747915232311,0.19747479152323114,0.0009765625,0.0009765625,0.0009765625,0.17310417186174232,0.17310417186174232,0.17310417186174232,0.003968253968253967,0.003968253968253967,0.003968253968253967,0.10207454587039094,0.10207454587039091,0.10207454587039091,0.04233275785212956,0.04233275785212963,0.04233275785212963
1,0.14510873234949398,0.16515113974563217,0.05792472383236181,0.0018145541223757529,0.0014540201733353202,0.0035121042947770546,0.04072819454880705,0.04072752305900198,0.09593899071978865,0.014332795764392487,0.014332887571297234,0.009248450112027549,0.061399243101816464,0.10834243971061186,0.10834243971061186,0.028090781554502328,0.008151979280563618,0.008151979280563618
2,0.07279447763823749,0.10264157231729401,0.046201135526160626,0.0032861486221079056,0.00267555927118192,0.003712534244112068,0.020133816493515276,0.0201333980044602,0.0951285704688356,0.018346658597244745,0.018346779006561606,0.00931748953602378,0.056183834416815195,0.13279710797950434,0.055416048260944054,0.04590750786034648,0.006320966232179803,0.04175040109894215
3,0.05320825375857168,0.06519831197142138,0.04012092971824832,0.003612629204453768,0.0034024736912723515,0.004026193364021874,0.02637919899517644,0.026378887630782822,0.0880714911882975,0.01667006668889036,0.016670127566477278,0.009885009174959308,0.060081848780313696,0.13372110026699083,0.05554833147666745,0.03750354915150458,0.02847149972446252,0.04252009665356964
4,0.046602873455542496,0.053176763435357474,0.03633138747436035,0.0037736200532832043,0.0036158845054853925,0.0044702421742185425,0.014829420307831177,0.01482876786776037,0.07639182344993167,0.019747818708659902,0.01974800550090395,0.010555038866733642,0.057111303294174146,0.11266853837589944,0.05283556382374684,0.04616775127872192,0.008573569976771594,0.043444068215899814
5,0.04149346285081861,0.0468692848050945,0.03382480469117949,0.004000183878296938,0.0037821739378562525,0.004950450268585803,0.02026085058420748,0.02026046704093374,0.0643506948607608,0.01838136779224214,0.018381510835787165,0.010810008470635245,0.05290360080866715,0.07730019644658401,0.047031536412751526,0.04771330171364711,0.05713929131556227,0.04196048895316957
6,0.037773436286943254,0.042340885938051534,0.030654188286321875,0.004277876536942889,0.003976693321672368,0.005734249991165032,0.010324782333940548,0.0103234697112861,0.05380604375610391,0.0203707424551579,0.02037099862316367,0.010546312791896101,0.05188744709060836,0.07439155527912839,0.046681700591466355,0.047552951098551115,0.06379223821315855,0.04134082863487238
7,0.03504132024504114,0.038902261925959476,0.027556501219788657,0.004593959921044081,0.004206166983652915,0.0066027427129818515,0.015122309482838702,0.015121079859341212,0.04510518263513571,0.019669472916294867,0.019669751671662725,0.009891615285803743,0.04834905130764099,0.07190435861478248,0.04611432250555176,0.04463559087813078,0.09294577839809473,0.040229846942114476
8,0.03286535231310415,0.03625284533290683,0.023216877065197972,0.004947143881475226,0.0044658747085229355,0.008018422873189136,0.00703671512703443,0.007035463716983659,0.038126215513522896,0.020662510949715652,0.020662891951508784,0.009043673478284744,0.04811597360590449,0.06567849513244278,0.0463002437494782,0.043925800876523445,0.06746560965362486,0.04016762086659702
9,0.030914087231011418,0.03413221795546477,0.02088137705502964,0.005349755794196319,0.004752481802017311,0.008773263892896422,0.01015138470657028,0.010149196526691467,0.032625316369484125,0.02036376957610374,0.020364066439788622,0.008196537920763932,0.04784290960224501,0.06500607198832203,0.04450757813017927,0.04264478196671498,0.08368114132006518,0.042243457404731226
10,0.02899301551241134,0.032316014828799304,0.01670700178421139,0.005816476850220729,0.005068477549153049,0.010393089860749589,0.006513808934710028,0.006514645717904211,0.028341574659077624,0.020961463494209347,0.02096199498226456,0.007501777937937377,0.04790800437019452,0.06588316655184419,0.044111699146732776,0.0427788777461631,0.07770609273259287,0.042700636076511735
11,0.02701181723994417,0.03063984169207977,0.01776872475176859,0.006354021246374438,0.005420661067423031,0.009976283757148896,0.007227793694730072,0.007225884790240026,0.02503047680735248,0.020544444464853335,0.020544540455497518,0.007051512511539482,0.04743411724697404,0.057298420806401615,0.040390620372231324,0.04298054671774071,0.11901864199808676,0.05113880314246503
12,0.02495030659823412,0.028999834380709487,0.015396873441895845,0.006955977415718657,0.005815737749458958,0.011371338545599987,0.007328124818685856,0.007329715990943618,0.022475508909678234,0.02127606634025983,0.021276616518011708,0.006879679944201591,0.047038225272304994,0.05652191615475737,0.04060592587494171,0.04325050566789079,0.12331839962410172,0.05016184669826195
13,0.02284311634275841,0.027339880134280358,0.01524805152779359,0.007599705707992098,0.006256463294329073,0.011178177672181603,0.005998616289399617,0.005996965817997498,0.020492653128020878,0.020250720808185838,0.02024986282045512,0.006976224626520899,0.04530129499837139,0.05664755869307838,0.03983655724129553,0.044256988870062706,0.12821421773198927,0.06477894579323759
14,0.02077008558394644,0.025639343680105016,0.015219826503873143,0.008246704693407022,0.006739241905767106,0.01102380027156062,0.0071606703603576995,0.007159982908300109,0.018931710590049514,0.02149091989269915,0.02149132799778152,0.007306388500470548,0.044144305515391,0.055136969250840266,0.03885761180832992,0.045431997447790286,0.1193099780159428,0.054628623434175856
15,0.018843033138240782,0.023905648085308477,0.015220528524428704,0.008848814120028308,0.0072527818056578874,0.010997612577510748,0.005750847816883316,0.005751216895092167,0.017675148295653337,0.019391292809840453,0.019388783335033147,0.007827762447947178,0.042819227964790124,0.05440661391675462,0.038725996816591626,0.04967571759757529,0.1114881432100689,0.0523501104585712
16,0.017182864613513767,0.022169870114475493,0.015178394678108834,0.009361164293401883,0.007777932649487397,0.011122121007630553,0.006314860539631171,0.006312554168984581,0.016634875866223944,0.021612061331131745,0.021612876164839746,0.008501005426315015,0.04274796253098675,0.05422371606972224,0.03884841027324649,0.05121510604885205,0.0896603808752265,0.04763312000086264
17,0.015886703798249774,0.020482441532257853,0.014650717401482355,0.009757755483865455,0.008289344112522043,0.0120446416752948,0.006402128849631792,0.006405165814844875,0.015747824550510308,0.0185307915619992,0.01852880582770033,0.009293878831717435,0.04279176858472351,0.053081462059149244,0.037441963537343206,0.05170714639179811,0.10887286694946496,0.06082582889295457
18,0.014994172841339127,0.018906735542948513,0.014069276664404268,0.01004018522713865,0.008759447319402303,0.012685440535979153,0.005478052122422809,0.005474055552439398,0.014971342290957477,0.022142777956899222,0.022146465028818875,0.010180548620067701,0.041945524479628946,0.051369013298872716,0.035296529551433475,0.04537899553903048,0.12494508769098482,0.07762583007038829
19,0.01447049677178557,0.01750922067174705,0.012314216067666644,0.010231986592725104,0.00916442628263471,0.014293599285472589,0.006742508569108224,0.0067425309342531055,0.014279073096702791,0.01875468809577726,0.01875840005823285,0.011138644660141922,0.041675985809122934,0.047727099098790554,0.03233378171152293,0.04238226590875481,0.15233989150934574,0.11052477586221644
20,0.014220752791819238,0.01634642731349534,0.012258529943384798,0.010362140592796137,0.009490401556536628,0.014329286120586454,0.004528480801245783,0.004523000581926545,0.013657457583721817,0.02326892022409175,0.023275313889633876,0.012146038042401478,0.0417136796212682,0.0476488463898492,0.032225367806270444,0.03872715704447281,0.15487715766469118,0.11339907497146656
21,0.01413050595855125,0.015451328752929722,0.010543030568250697,0.010450574187412312,0.009736925937953455,0.015331285380437985,0.005850829901862105,0.005844225977999053,0.01310258386434274,0.020295626070445872,0.020304761276464342,0.013178486203382432,0.04115829051665719,0.04758659279256761,0.03190599110080991,0.044089090415507744,0.15401447189749698,0.12360224437271734
22,0.014108154281592443,0.014823912971947602,0.010553403410473984,0.010505761372093393,0.009915551717827112,0.015369454298776378,0.003975425992921985,0.0039742894726898185,0.012616990267140336,0.024354304187586235,0.024359390072221127,0.01420863111107324,0.04021280075320349,0.04764664384067338,0.031834835925505005,0.05022002976847527,0.14655731375248524,0.12485483319636233
23,0.014104264266199058,0.014430786055920648,0.010549445426657486,0.010533778428963043,0.010043918342882738,0.015361818917146925,0.004635667230122559,0.004628843155900996,0.012206199298764403,0.021790905818584942,0.021796261421325895,0.015206408512159994,0.037100071653580535,0.04676006696292074,0.03042716393461606,0.07188529488966651,0.1565617124524763,0.1419586059408577
24,0.014102609033143086,0.014215310524695702,0.01046865647858056,0.010549862447718248,0.010138589432605585,0.015173789458307656,0.004092204479123012,0.004095008267297723,0.011875158069608996,0.024933553547034863,0.024934770848985793,0.016140650451078896,0.035707200539198916,0.045085291537727015,0.030036975015578195,0.08732360507699483,0.16633699865293586,0.14847498179801227
25,0.014096475696896822,0.014114416370770306,0.010402474157790562,0.010583192957284212,0.010210426885534012,0.014932809780375934,0.003967723932918497,0.003963630001328842,0.011625158261414432,0.02222571752905096,0.022221265480862024,0.01698143956740711,0.03529422300924902,0.044561093268119176,0.03008004184368261,0.0996317828029372,0.16792024192078436,0.15208255137981627
26,0.014068437295217354,0.014074596556890664,0.010380731869123597,0.010671635821784972,0.010264405532655028,0.014535127455642411,0.004122077528679817,0.004121171040638895,0.011451934416211182,0.025003663196212188,0.025000257340504158,0.0177026096700622,0.03529631440620133,0.04387695459807611,0.029864961554986386,0.09885430581563824,0.16812090633282287,0.14626092247392455
27,0.013984820382910823,0.014060534800386017,0.01035433573592747,0.01084989908525649,0.010303140046381363,0.014714124872404512,0.0037444689323050746,0.0037442479504459984,0.011345361622188969,0.021763801178375623,0.021751756085178764,0.018283793620714726,0.035269084647491476,0.043174868113807094,0.029901195512475644,0.10041956635676376,0.1631517106320579,0.1433529570050522
28,0.013805589064404213,0.014054374836930561,0.01016473853069455,0.011137297516301766,0.010331666243885663,0.015453708618732019,0.0037978363971019283,0.0037931278342663334,0.01129065300636944,0.024771520476585637,0.02476802949195085,0.018711660889874204,0.035061341306874515,0.04322923845257708,0.02934341211992709,0.10541365277637313,0.15370736761015502,0.15159245394676
