layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
0,0.0014254015671596155,0.0014254015671596155,0.001425401567159617,0.015625,0.015625,0.015625,-0.007546104123681221,-0.007546104123681221,-0.007546104123681221,0.049999999999999975,0.050000000000000024,0.049999999999999975,-0.0074095434324832335,-0.0074095434324832335,-0.0074095434324832335,0.17797852460820976,0.1779785246082097,0.1779785246082097
1,-0.0030304612850875546,-0.001430783278898455,-0.0043788119703041285,0.02555997653318953,0.021233500582105377,0.04111924371284162,-0.009337442775664092,-0.008914094992069244,-0.010093290588522872,0.07764854488177693,0.07076278150370062,0.09016809078037501,-0.012295420371724175,-0.011603117737255897,-0.011339386629524058,0.2636052765612273,0.24483506097445346,0.2997899017825781
2,-0.005967743475520334,-0.0051453067737041456,-0.004791343793817558,0.040150515369042045,0.034079595413896074,0.038207059226383115,-0.012759103076655289,-0.012035929635867281,-0.013084253673850667,0.14454855839862335,0.1290544244229013,0.15152286647731827,-0.012639137112323234,-0.012539650643048555,-0.011914649702355957,0.2771176268759057,0.2753044693355849,0.2842420280202136
3,-0.005896304162361422,-0.005880243295802921,-0.0043813824263238925,0.039412633552911996,0.0393937368542113,0.03491150782668159,-0.014324220196089086,-0.014520666130793686,-0.013505625399339242,0.1868751690704716,0.1913715694027423,0.16334537074889383,-0.01316172258560933,-0.012600399403233596,-0.012272731758427198,0.305345222120122,0.27816796765971213,0.2987586141889463
4,-0.006688678360578403,-0.006168273645928698,-0.008405690968053601,0.047858459977031156,0.042322720666623986,0.07778668139878352,-0.014776652215761467,-0.015359819575985851,-0.01418771673925173,0.20258893488031482,0.21954175608715987,0.1846888412611457,-0.013365935919559148,-0.013256329542589712,-0.014484721748435141,0.3172584653987547,0.31486244050644957,0.382263600095941
5,-0.006954044837443476,-0.006554962338772172,-0.008934690844235508,0.051301018629593756,0.04670287850396744,0.09203267043141,-0.015398655609086612,-0.01588285207411562,-0.014851956977819268,0.2267998564381977,0.24031446941088594,0.20785550052795895,-0.013987796088324842,-0.01328725114926776,-0.014031988157289904,0.35304562289747543,0.31665110352044396,0.3683019393370391
6,-0.007573657818394333,-0.006936275414518595,-0.009736292903434425,0.05950528478219264,0.051465721311109006,0.10417301310635335,-0.015799129391167125,-0.016350125730983104,-0.01546279855684542,0.24407619473569317,0.260887204741235,0.230925324531869,-0.014184976337422156,-0.01399793416277761,-0.015976985820734438,0.362674857383263,0.35422550629321486,0.414245784350762
7,-0.008088938528981045,-0.007358937815446368,-0.0139319376394903,0.06704974091552772,0.05707507244101941,0.1706933505585049,-0.01623139646052231,-0.0167468380485648,-0.0160119313674873,0.26373729944538576,0.2797918381018665,0.2528985892920271,-0.014903282250244393,-0.014138808010631203,-0.01585951866246083,0.3894243809800694,0.36066726087835377,0.41293045921821425
8,-0.008760600281700117,-0.007824592761032097,-0.013942121752000308,0.07768788494783264,0.06363789343397298,0.17090970256811655,-0.016555050327259027,-0.01709583117775221,-0.016500230168150335,0.27910391564033527,0.2974272629626737,0.2733501339734834,-0.015201989167223538,-0.014788243400591247,-0.01652877964751859,0.3969558401479192,0.3831612383907324,0.41571506971809424
9,-0.009517943205658026,-0.008348290156614487,-0.015699404815981297,0.09097151668866595,0.0715564396243707,0.22413251285895683,-0.01688619735340914,-0.01740292186895707,-0.016932023063963336,0.2952993918980553,0.3137442511214142,0.29223086877708604,-0.015714061478764627,-0.01511221750868813,-0.01651927242771077,0.40458965559298227,0.3908726548289198,0.41593960351544795
